x_station,y_station,priceB
老街,凉帽山,10
老街,上李朗,11
老街,木古,11
老街,华南城,11
老街,禾花,11
老街,平湖,11
老街,双拥街,11
老街,南山,14
老街,宝安,19
老街,碧海湾,19
老街,机场,22
老街,机场北,23
老街,福永,25
老街,桥头,25
老街,塘尾,26
老街,马安山,28
老街,沙井,28
老街,后亭,28
老街,碧头,30
老街,左炮台东,15
老街,太子湾,15
老街,花果山,15
老街,四海,15
老街,南光,14
老街,南头古城,14
老街,中山公园,14
老街,同乐南,15
老街,新安公园,15
老街,上川,15
老街,流塘,15
老街,宝安客运站,15
老街,宝田一路,15
老街,平峦山,16
老街,西乡桃源,16
老街,钟屋南,16
老街,黄田,16
老街,兴围,16
老街,福围,24
老街,怀德,25
老街,桥头西,25
老街,福海西,26
老街,国展,23
老街,国展北,24
老街,海上田园南,24
老街,海上田园东,24
老街,罗湖北,8
老街,石芽岭,8
老街,六约北,9
老街,四联,10
老街,坳背,10
老街,嶂背,11
老街,南约,11
老街,宝龙,12
老街,锦龙,12
老街,坪山围,12
老街,坪山广场,12
老街,坪山中心,12
老街,坑梓,13
老街,沙田,14
老街,大运中心,11
老街,龙城公园,11
老街,黄阁坑,11
老街,愉园,11
老街,回龙埔,11
老街,尚景,11
老街,盛平,12
老街,龙园,12
老街,新塘围,12
老街,龙东,12
老街,宝龙同乐,12
老街,坪山,13
老街,新和,12
老街,六和,12
老街,坪环,12
老街,东纵纪念馆,12
老街,沙壆,13
老街,燕子湖,13
老街,石井,13
老街,技术大学,13
老街,田心,13
老街,国展南,23
老街,会展城,24
大剧院,罗湖,6
大剧院,国贸,6
大剧院,老街,6
大剧院,大剧院,6
大剧院,科学馆,6
大剧院,华强路,6
大剧院,岗厦,6
大剧院,会展中心,7
大剧院,购物公园,7
大剧院,香蜜湖,7
大剧院,车公庙,7
大剧院,竹子林,8
大剧院,侨城东,8
大剧院,华侨城,8
大剧院,世界之窗,8
大剧院,白石洲,9
大剧院,高新园,9
大剧院,深大,9
大剧院,桃园,10
大剧院,大新,10
大剧院,鲤鱼门,13
大剧院,前海湾,17
大剧院,新安,17
大剧院,宝安中心,17
大剧院,宝体,17
大剧院,坪洲,17
大剧院,西乡,17
大剧院,固戍,18
大剧院,后瑞,18
大剧院,机场东,18
大剧院,赤湾,17
大剧院,蛇口港,15
大剧院,海上世界,15
大剧院,水湾,14
大剧院,东角头,14
大剧院,湾厦,14
大剧院,海月,14
大剧院,登良,14
大剧院,后海,13
大剧院,科苑,10
大剧院,红树湾,9
大剧院,侨城北,9
大剧院,深康,9
大剧院,安托山,9
大剧院,侨香,8
大剧院,香蜜,8
大剧院,香梅北,8
大剧院,景田,8
大剧院,莲花西,7
大剧院,福田,7
大剧院,市民中心,7
大剧院,岗厦北,7
大剧院,华强北,6
大剧院,燕南,6
大剧院,湖贝,6
大剧院,黄贝岭,6
大剧院,新秀,7
大剧院,莲塘口岸,7
大剧院,仙湖路,7
大剧院,莲塘,8
大剧院,梧桐山南,8
大剧院,沙头角,9
大剧院,海山,9
大剧院,盐田港西,9
大剧院,深外高中,10
大剧院,盐田路,10
大剧院,鸿安围,10
大剧院,盐田墟,10
大剧院,大梅沙,11
大剧院,小梅沙,11
大剧院,福保,8
大剧院,益田,7
大剧院,石厦,7
大剧院,少年宫,7
大剧院,莲花村,7
大剧院,华新,6
大剧院,通新岭,6
大剧院,红岭,6
大剧院,晒布,6
大剧院,翠竹,6
大剧院,田贝,7
大剧院,水贝,7
大剧院,草埔,7
大剧院,布吉,8
大剧院,木棉湾,8
大剧院,大芬,8
大剧院,丹竹头,9
大剧院,六约,9
大剧院,塘坑,9
大剧院,横岗,10
大剧院,永湖,10
大剧院,荷坳,10
大剧院,大运,11
大剧院,爱联,11
大剧院,吉祥,11
大剧院,龙城广场,11
大剧院,南联,11
大剧院,双龙,11
大剧院,福田口岸,7
大剧院,福民,7
大剧院,莲花北,7
大剧院,上梅林,8
大剧院,民乐,8
大剧院,白石龙,9
大剧院,深圳北站,9
大剧院,红山,9
大剧院,上塘,9
大剧院,龙胜,10
大剧院,龙华,10
大剧院,清湖,10
大剧院,清湖北,10
大剧院,竹村,11
大剧院,茜坑,11
大剧院,长湖,11
大剧院,观澜,11
大剧院,松元厦,11
大剧院,观澜湖,11
大剧院,牛湖,12
大剧院,荔湾,17
大剧院,铁路公园,17
大剧院,妈湾,17
大剧院,前湾公园,17
大剧院,前湾,17
大剧院,桂湾,17
大剧院,临海,17
大剧院,宝华,17
大剧院,翻身,17
大剧院,灵芝,15
大剧院,洪浪北,15
大剧院,兴东,13
大剧院,留仙洞,10
大剧院,西丽,10
大剧院,大学城,10
大剧院,塘朗,9
大剧院,长岭陂,9
大剧院,民治,9
大剧院,五和,9
大剧院,坂田,9
大剧院,杨美,9
大剧院,上水径,9
大剧院,下水径,8
大剧院,长龙,8
大剧院,百鸽笼,8
大剧院,布心,7
大剧院,太安,7
大剧院,怡景,7
大剧院,体育中心,6
大剧院,八卦岭,6
大剧院,银湖,7
大剧院,翰岭,7
大剧院,梅林关,8
大剧院,上芬,9
大剧院,元芬,10
大剧院,阳台山东,10
大剧院,官田,11
大剧院,上屋,11
大剧院,长圳,11
大剧院,凤凰城,12
大剧院,光明大街,12
大剧院,光明,12
大剧院,科学公园,12
大剧院,楼村,12
大剧院,红花山,13
大剧院,公明广场,13
大剧院,合水口,13
大剧院,薯田埔,19
大剧院,松岗公园,25
大剧院,溪头,28
大剧院,松岗,28
大剧院,圳美,12
大剧院,中大,13
大剧院,深理工,13
大剧院,西丽湖,10
大剧院,茶光,10
大剧院,珠光,9
大剧院,龙井,9
大剧院,桃源村,9
大剧院,深云,9
大剧院,农林,8
大剧院,上沙,8
大剧院,沙尾,7
大剧院,皇岗村,7
大剧院,皇岗口岸,7
大剧院,赤尾,6
大剧院,华强南,6
大剧院,黄木岗,6
大剧院,红岭北,6
大剧院,笋岗,7
大剧院,洪湖,7
大剧院,梦海,13
大剧院,怡海,13
大剧院,荔林,12
大剧院,南油西,12
大剧院,南油,12
大剧院,南山书城,12
大剧院,深大南,12
大剧院,粤海门,11
大剧院,高新南,11
大剧院,红树湾南,11
大剧院,深湾,9
大剧院,深圳湾公园,9
大剧院,下沙,8
大剧院,香梅,8
大剧院,梅景,8
大剧院,下梅林,8
大剧院,梅村,8
大剧院,孖岭,8
大剧院,泥岗,7
大剧院,园岭,6
大剧院,红岭南,6
大剧院,鹿丹村,6
大剧院,人民南,7
大剧院,向西村,7
大剧院,文锦,7
大剧院,冬瓜岭,7
大剧院,雅宝,9
大剧院,南坑,9
大剧院,光雅园,9
大剧院,坂田北,9
大剧院,贝尔路,9
大剧院,华为,9
大剧院,岗头,10
大剧院,雪象,10
大剧院,甘坑,10
大剧院,凉帽山,10
大剧院,上李朗,11
大剧院,木古,11
大剧院,华南城,11
大剧院,禾花,11
大剧院,平湖,11
大剧院,双拥街,11
大剧院,南山,14
大剧院,宝安,19
大剧院,碧海湾,19
大剧院,机场,22
大剧院,机场北,23
大剧院,福永,25
大剧院,桥头,25
大剧院,塘尾,25
大剧院,马安山,27
大剧院,沙井,28
大剧院,后亭,28
大剧院,碧头,30
大剧院,左炮台东,15
大剧院,太子湾,15
大剧院,花果山,14
大剧院,四海,14
大剧院,南光,14
大剧院,南头古城,14
大剧院,中山公园,14
大剧院,同乐南,15
大剧院,新安公园,15
大剧院,上川,15
大剧院,流塘,15
大剧院,宝安客运站,15
大剧院,宝田一路,15
大剧院,平峦山,15
大剧院,西乡桃源,16
大剧院,钟屋南,16
大剧院,黄田,16
大剧院,兴围,16
大剧院,福围,24
大剧院,怀德,25
大剧院,桥头西,25
大剧院,福海西,25
大剧院,国展,23
大剧院,国展北,23
大剧院,海上田园南,24
大剧院,海上田园东,24
大剧院,罗湖北,8
大剧院,石芽岭,9
大剧院,六约北,10
大剧院,四联,10
大剧院,坳背,10
大剧院,嶂背,11
大剧院,南约,12
大剧院,宝龙,12
大剧院,锦龙,12
大剧院,坪山围,13
大剧院,坪山广场,13
大剧院,坪山中心,13
大剧院,坑梓,13
大剧院,沙田,14
大剧院,大运中心,11
大剧院,龙城公园,11
大剧院,黄阁坑,11
大剧院,愉园,11
大剧院,回龙埔,12
大剧院,尚景,12
大剧院,盛平,12
大剧院,龙园,12
大剧院,新塘围,12
大剧院,龙东,12
大剧院,宝龙同乐,13
大剧院,坪山,13
大剧院,新和,13
大剧院,六和,13
大剧院,坪环,13
大剧院,东纵纪念馆,13
大剧院,沙壆,13
大剧院,燕子湖,13
大剧院,石井,13
大剧院,技术大学,13
大剧院,田心,14
大剧院,国展南,23
大剧院,会展城,24
科学馆,罗湖,7
科学馆,国贸,6
科学馆,老街,6
科学馆,大剧院,6
科学馆,科学馆,6
科学馆,华强路,6
科学馆,岗厦,6
科学馆,会展中心,6
科学馆,购物公园,7
科学馆,香蜜湖,7
科学馆,车公庙,7
科学馆,竹子林,7
科学馆,侨城东,8
科学馆,华侨城,8
科学馆,世界之窗,8
科学馆,白石洲,8
科学馆,高新园,9
科学馆,深大,9
科学馆,桃园,10
科学馆,大新,10
科学馆,鲤鱼门,12
科学馆,前海湾,16
科学馆,新安,17
科学馆,宝安中心,17
科学馆,宝体,17
科学馆,坪洲,17
科学馆,西乡,17
科学馆,固戍,17
科学馆,后瑞,18
科学馆,机场东,18
科学馆,赤湾,15
科学馆,蛇口港,14
科学馆,海上世界,14
科学馆,水湾,14
科学馆,东角头,14
科学馆,湾厦,14
科学馆,海月,14
科学馆,登良,13
科学馆,后海,13
科学馆,科苑,9
科学馆,红树湾,9
科学馆,侨城北,9
科学馆,深康,8
科学馆,安托山,8
科学馆,侨香,8
科学馆,香蜜,8
科学馆,香梅北,8
科学馆,景田,7
科学馆,莲花西,7
科学馆,福田,7
科学馆,市民中心,7
科学馆,岗厦北,6
科学馆,华强北,6
科学馆,燕南,6
科学馆,湖贝,6
科学馆,黄贝岭,7
